wavelength transmission
14060.0 0.97002
14070.0 0.97071
14080.0 0.96908
14090.0 0.96977
14100.0 0.96814
14110.0 0.96883
14120.0 0.96719
14130.0 0.96555
14140.0 0.96623
14150.0 0.96691
14160.0 0.96526
14170.0 0.96828
14180.0 0.96896
14190.0 0.97198
14200.0 0.97267
14210.0 0.97569
14220.0 0.97872
14230.0 0.97941
14240.0 0.98244
14250.0 0.98313
14260.0 0.98382
14270.0 0.98216
14280.0 0.9805
14290.0 0.98118
14300.0 0.97952
14310.0 0.97785
14320.0 0.97853
14330.0 0.97685
14340.0 0.97753
14350.0 0.97822
14360.0 0.98126
14370.0 0.98195
14380.0 0.985
14390.0 0.98805
14400.0 0.99111
14410.0 0.9918
14420.0 0.99486
14430.0 0.99793
14440.0 0.99862
14450.0 0.99931
14460.0 1.0
14470.0 0.99831
14480.0 0.99661
14490.0 0.99492
14500.0 0.99322
14510.0 0.99151
14520.0 0.9898
14530.0 0.98809
14540.0 0.98638
14550.0 0.98466
14560.0 0.98294
14570.0 0.98122
14580.0 0.97949
14590.0 0.97776
14600.0 0.97603
14610.0 0.97429
14620.0 0.97255
14630.0 0.9708
14640.0 0.96906
14650.0 0.96731
14660.0 0.96555
14670.0 0.9638
14680.0 0.96204
14690.0 0.96269
14700.0 0.96093
14710.0 0.96158
14720.0 0.95981
14730.0 0.96046
14740.0 0.95869
14750.0 0.95934
14760.0 0.95999
14770.0 0.95821
14780.0 0.95642
14790.0 0.95463
14800.0 0.95284
14810.0 0.95349
14820.0 0.94925
14830.0 0.94745
14840.0 0.94564
14850.0 0.94384
14860.0 0.94202
14870.0 0.94021
14880.0 0.93839
14890.0 0.93657
14900.0 0.93475
14910.0 0.93292
14920.0 0.93109
14930.0 0.92679
14940.0 0.92496
14950.0 0.92311
14960.0 0.9188
14970.0 0.91695
14980.0 0.9151
14990.0 0.91077
15000.0 0.90891
15010.0 0.90705
15020.0 0.90518
15030.0 0.9033
15040.0 0.90143
15050.0 0.89955
15060.0 0.89767
15070.0 0.89578
15080.0 0.89389
15090.0 0.892
15100.0 0.88762
15110.0 0.88572
15120.0 0.88382
15130.0 0.87942
15140.0 0.87501
15150.0 0.8706
15160.0 0.86619
15170.0 0.85926
15180.0 0.85233
15190.0 0.84539
15200.0 0.83844
15210.0 0.83148
15220.0 0.822
15230.0 0.81502
15240.0 0.80551
15250.0 0.79851
15260.0 0.79149
15270.0 0.78196
15280.0 0.77492
15290.0 0.76787
15300.0 0.76082
15310.0 0.75375
15320.0 0.7492
15330.0 0.74212
15340.0 0.73502
15350.0 0.72792
15360.0 0.72081
15370.0 0.71368
15380.0 0.7068
15390.0 0.69966
15400.0 0.69251
15410.0 0.68535
15420.0 0.67817
15430.0 0.67328
15440.0 0.66609
15450.0 0.66143
15460.0 0.65931
15470.0 0.65465
15480.0 0.65252
15490.0 0.65039
15500.0 0.64826
15510.0 0.64868
15520.0 0.64909
15530.0 0.64696
15540.0 0.64737
15550.0 0.64779
15560.0 0.64821
15570.0 0.64862
15580.0 0.6516
15590.0 0.65202
15600.0 0.65244
15610.0 0.65286
15620.0 0.65585
15630.0 0.65627
15640.0 0.65926
15650.0 0.65969
15660.0 0.66269
15670.0 0.66311
15680.0 0.66611
15690.0 0.66654
15700.0 0.66696
15710.0 0.66997
15720.0 0.6704
15730.0 0.67083
15740.0 0.67125
15750.0 0.66909
15760.0 0.66951
15770.0 0.66994
15780.0 0.66776
15790.0 0.66819
15800.0 0.66601
15810.0 0.66383
15820.0 0.66425
15830.0 0.66206
15840.0 0.65987
15850.0 0.65768
15860.0 0.65287
15870.0 0.65067
15880.0 0.64846
15890.0 0.64364
15900.0 0.64142
15910.0 0.63659
15920.0 0.63175
15930.0 0.62952
15940.0 0.62467
15950.0 0.61981
15960.0 0.61757
15970.0 0.61269
15980.0 0.61045
15990.0 0.6082
16000.0 0.60594
16010.0 0.60368
16020.0 0.60142
16030.0 0.59916
16040.0 0.59953
16050.0 0.59726
16060.0 0.59764
16070.0 0.59801
16080.0 0.59838
16090.0 0.59875
16100.0 0.59647
16110.0 0.59684
16120.0 0.59721
16130.0 0.59493
16140.0 0.5953
16150.0 0.59567
16160.0 0.59337
16170.0 0.59108
16180.0 0.59144
16190.0 0.58914
16200.0 0.58684
16210.0 0.58453
16220.0 0.58222
16230.0 0.57991
16240.0 0.57492
16250.0 0.5726
16260.0 0.5676
16270.0 0.56259
16280.0 0.55757
16290.0 0.55255
16300.0 0.54484
16310.0 0.53711
