LOGL LOGTEFF T_c Ro_c Hc Hec Con_s Con_c LogedadMyr Mass Mdot modelo LogLpp LogLcno LogLHe LogLCC intdSdt LogLnu Log_MHtot Log_HeBuf Masa_HFC Masa_HeFC log_g RR_sun LHergs SepFaseergs Teff Age
3.178303 5.635082 2.495909 8.213365 0.0 0.0 0.0 0.0 2.292122306355654 1.22573 -33.0 897069 -99.0 -99.0 -99.0 -99.0 87296.81 4.9333957 -inf -5.2261868 1.2257318 1.2254414 8.8434609 0.0069394 0.0 -0.0 431600.56049034756 2.4883674029752e-05
3.355081 5.717751 2.611104 8.531729 0.0 0.0 0.0 0.0 2.292122306654267 1.2919 -33.0 897066 -99.0 -99.0 -99.0 -99.0 451044.2 5.652025 -inf -4.8983073 1.2919045 1.2917357 9.0201957 0.0058126 0.0 -0.0 522096.76228685054 2.5018398417842036e-05
3.352519 5.717263 2.609444 8.532394 0.0 0.0 0.0 0.0 2.292122309726051 1.2919 -33.0 897067 -99.0 -99.0 -99.0 -99.0 445834.8 5.6469671 -inf -4.8983258 1.2919045 1.2917357 9.0208035 0.0058086 0.0 -0.0 521510.4317227835 2.640428820654961e-05
3.174472 5.634228 2.495345 8.213568 0.0 0.0 0.0 0.0 2.292122310276308 1.22573 -33.0 897070 -99.0 -99.0 -99.0 -99.0 86946.68 4.9316871 -inf -5.2262144 1.2257318 1.2254414 8.8438772 0.0069361 0.0 -0.0 430752.6917390915 2.6652546466721105e-05
3.025911 5.567259 2.380451 7.962061 0.0 0.0 0.0 0.0 2.292122310891366 1.15919 -33.0 897133 -99.0 -99.0 -99.0 -99.0 20093.09 4.2793492 -inf -3.9872857 1.1591853 1.1585431 8.7003164 0.0079575 0.0 -0.0 369197.711198252 2.6930040689876478e-05
3.349633 5.716729 2.607547 8.533274 0.0 0.0 0.0 0.0 2.292122313412192 1.2919 -33.0 897068 -99.0 -99.0 -99.0 -99.0 439962.2 5.6411937 -inf -4.8983444 1.2919045 1.2917357 9.0215544 0.0058035 0.0 -0.0 520869.58676281234 2.806735605531685e-05
3.170276 5.633288 2.49467 8.213731 0.0 0.0 0.0 0.0 2.292122314768829 1.22573 -33.0 897071 -99.0 -99.0 -99.0 -99.0 86518.5 4.9295791 -inf -5.2262425 1.2257318 1.2254414 8.8443127 0.0069326 0.0 -0.0 429821.3659542466 2.8679426861799584e-05
3.346321 5.716109 2.605321 8.534201 0.0 0.0 0.0 0.0 2.292122317767784 1.2919 -33.0 897069 -99.0 -99.0 -99.0 -99.0 433000.2 5.6342478 -inf -4.898363 1.2919045 1.2917357 9.0223843 0.005798 0.0 -0.0 520126.5224309157 3.0032458425921504e-05
3.16555 5.632239 2.493903 8.213997 0.0 0.0 0.0 0.0 2.292122320159855 1.22573 -33.0 897072 -99.0 -99.0 -99.0 -99.0 86042.92 4.9272259 -inf -5.2262709 1.2257318 1.2254414 8.8448413 0.0069284 0.0 -0.0 428784.4231971367 3.1111683625795195e-05
3.012512 5.564173 2.379983 7.962141 0.0 0.0 0.0 0.0 2.292122322791919 1.15919 -33.0 897134 -99.0 -99.0 -99.0 -99.0 19986.95 4.2776631 -inf -3.9873188 1.1591853 1.1585431 8.7013745 0.0079478 0.0 -0.0 366583.57311450783 3.229918587521752e-05
3.342578 5.715423 2.602776 8.535368 0.0 0.0 0.0 0.0 2.292122322994493 1.2919 -33.0 897070 -99.0 -99.0 -99.0 -99.0 425104.8 5.6262335 -inf -4.8983817 1.2919045 1.2917357 9.0233846 0.0057913 0.0 -0.0 519305.59295493935 3.2390580685159875e-05
3.160399 5.631091 2.492997 8.21423 0.0 0.0 0.0 0.0 2.292122326354353 1.22573 -33.0 897073 -99.0 -99.0 -99.0 -99.0 85472.92 4.9243786 -inf -5.2263001 1.2257318 1.2254414 8.8454 0.0069239 0.0 -0.0 427652.4850317649 3.3906441018416444e-05
3.338285 5.714631 2.599794 8.536632 0.0 0.0 0.0 0.0 2.292122329253036 1.2919 -33.0 897071 -99.0 -99.0 -99.0 -99.0 415804.3 5.6165984 -inf -4.8984005 1.2919045 1.2917357 9.024509 0.0057838 0.0 -0.0 518359.4256638166 3.521423323604722e-05
3.154626 5.629814 2.49196 8.214579 0.0 0.0 0.0 0.0 2.292122333787751 1.22573 -33.0 897074 -99.0 -99.0 -99.0 -99.0 84831.15 4.9211486 -inf -5.2263298 1.2257318 1.2254414 8.8460675 0.0069186 0.0 -0.0 426396.86208934797 3.7260150406837056e-05
3.333472 5.713763 2.59642 8.538198 0.0 0.0 0.0 0.0 2.292122336763288 1.2919 -33.0 897072 -99.0 -99.0 -99.0 -99.0 405363.8 5.6055211 -inf -4.8984193 1.2919045 1.2917357 9.0258518 0.0057749 0.0 -0.0 517324.44440406474 3.860261654153874e-05
2.998771 5.561025 2.379473 7.962329 0.0 0.0 0.0 0.0 2.292122337072583 1.15919 -33.0 897135 -99.0 -99.0 -99.0 -99.0 19876.05 4.2758564 -inf -3.987352 1.1591853 1.1585431 8.7025209 0.0079373 0.0 -0.0 363935.9853636013 3.874216056942714e-05
3.14835 5.628423 2.490747 8.214908 0.0 0.0 0.0 0.0 2.292122342361046 1.22573 -33.0 897075 -99.0 -99.0 -99.0 -99.0 84073.87 4.917295 -inf -5.2263604 1.2257318 1.2254377 8.846779 0.006913 0.0 -0.0 425033.3421150752 4.112814440304646e-05
3.328009 5.712777 2.592527 8.539926 0.0 0.0 0.0 0.0 2.29212234577559 1.2919 -33.0 897073 -99.0 -99.0 -99.0 -99.0 393308.7 5.5923682 -inf -4.8984382 1.2919045 1.2917348 9.0273681 0.0057648 0.0 -0.0 516151.2696817902 4.266867637170435e-05
3.141369 5.626888 2.489353 8.21537 0.0 0.0 0.0 0.0 2.292122352648999 1.22573 -33.0 897076 -99.0 -99.0 -99.0 -99.0 83214.74 4.9128772 -inf -5.2263919 1.2257318 1.2254377 8.8476177 0.0069063 0.0 -0.0 423533.7270503655 4.576973677217211e-05
