logTe log_g Mass e_Mass Age e_Age Teff
3.90 6.8 0.2087 0.0009 1264.085 132.755 7943.2841796875
3.90 6.9 0.2257 0.0001 1205.041 49.574 7943.2841796875
3.90 7.0 0.2439 0.0003 1195.969 47.418 7943.2841796875
3.90 7.1 0.2631 0.0004 890.126 63.395 7943.2841796875
3.90 7.2 0.2871 0.0005 1006.714 80.213 7943.2841796875
3.90 7.3 0.3160 0.0009 1393.462 320.619 7943.2841796875
3.90 7.4 0.3461 0.0002 1421.772 70.971 7943.2841796875
3.90 7.5 0.3833 0.0029 1625.681 232.266 7943.2841796875
3.90 7.6 0.4202 0.0002 1809.603 33.390 7943.2841796875
3.91 3.0 0.2633 0.0067 6.131 5.042 8128.306640625
3.91 3.1 0.2554 0.0058 15.714 21.265 8128.306640625
3.91 3.2 0.2481 0.0047 26.862 15.928 8128.306640625
3.91 3.3 0.2397 0.0042 36.058 24.662 8128.306640625
3.91 3.4 0.2308 0.0040 39.297 22.858 8128.306640625
3.91 3.5 0.2225 0.0036 47.491 24.089 8128.306640625
3.91 3.6 0.2148 0.0032 45.468 24.512 8128.306640625
3.91 3.7 0.2076 0.0028 40.963 23.111 8128.306640625
3.91 3.8 0.2010 0.0023 39.624 23.331 8128.306640625
3.91 3.9 0.1941 0.0022 28.531 24.120 8128.306640625
3.91 4.0 0.1877 0.0020 19.181 25.474 8128.306640625
3.91 4.1 0.1819 0.0019 15.018 26.962 8128.306640625
3.91 4.2 0.1765 0.0018 11.533 27.339 8128.306640625
3.91 4.3 0.1716 0.0016 10.031 26.564 8128.306640625
3.91 4.4 0.1674 0.0013 19.133 27.181 8128.306640625
3.91 4.5 0.1632 0.0013 30.495 24.938 8128.306640625
3.91 4.6 0.1595 0.0008 49.302 22.475 8128.306640625
3.91 4.7 0.1557 0.0008 78.605 19.903 8128.306640625
3.91 4.8 0.1525 0.0008 114.225 18.112 8128.306640625
3.91 4.9 0.1500 0.0008 151.756 15.391 8128.306640625
3.91 5.0 0.1489 0.0007 179.013 14.133 8128.306640625
3.91 5.1 0.1499 0.0007 216.441 12.965 8128.306640625
3.91 5.2 0.1441 0.0007 863.500 50.400 8128.306640625
3.91 5.3 0.1433 0.0006 1496.890 83.820 8128.306640625
3.91 5.4 0.1433 0.0004 1061.214 250.635 8128.306640625
3.91 5.8 0.1552 0.0000 5718.962 15.540 8128.306640625
3.91 5.9 0.1554 0.0000 4998.846 13.185 8128.306640625
3.91 6.0 0.1532 0.0001 4021.029 154.453 8128.306640625
3.91 6.1 0.1567 0.0004 4344.954 357.742 8128.306640625
3.91 6.2 0.1609 0.0004 4880.129 315.816 8128.306640625
3.91 6.3 0.1656 0.0006 5700.073 236.319 8128.306640625
3.91 6.4 0.1709 0.0004 6841.513 153.967 8128.306640625
3.91 6.5 0.1770 0.0010 4914.097 922.108 8128.306640625
3.91 6.6 0.1862 0.0031 3429.123 668.942 8128.306640625
3.91 6.7 0.1929 0.0012 1326.173 31.044 8128.306640625
3.91 6.8 0.2099 0.0009 1201.923 122.206 8128.306640625
3.91 6.9 0.2270 0.0001 1135.989 46.657 8128.306640625
3.91 7.0 0.2452 0.0003 1090.695 50.579 8128.306640625
3.91 7.1 0.2642 0.0004 813.023 63.304 8128.306640625
3.91 7.2 0.2884 0.0005 959.091 74.600 8128.306640625
3.91 7.3 0.3171 0.0010 1287.952 286.184 8128.306640625
3.91 7.4 0.3470 0.0002 1316.845 53.012 8128.306640625
3.91 7.5 0.3841 0.0028 1519.856 208.483 8128.306640625
3.91 7.6 0.4210 0.0002 1712.581 31.785 8128.306640625
3.92 3.0 0.2665 0.0069 5.806 3.727 8317.6396484375
3.92 3.1 0.2590 0.0063 13.301 17.986 8317.6396484375
3.92 3.2 0.2516 0.0051 22.241 17.994 8317.6396484375
3.92 3.3 0.2438 0.0043 35.729 25.654 8317.6396484375
3.92 3.4 0.2348 0.0041 41.450 24.457 8317.6396484375
3.92 3.5 0.2263 0.0036 47.386 23.340 8317.6396484375
3.92 3.6 0.2182 0.0033 44.940 25.020 8317.6396484375
3.92 3.7 0.2111 0.0028 39.472 24.279 8317.6396484375
3.92 3.8 0.2040 0.0025 37.925 24.101 8317.6396484375
3.92 3.9 0.1975 0.0021 35.664 24.635 8317.6396484375
3.92 4.0 0.1909 0.0020 26.120 27.094 8317.6396484375
3.92 4.1 0.1849 0.0019 20.764 29.623 8317.6396484375
3.92 4.2 0.1794 0.0018 18.893 30.042 8317.6396484375
3.92 4.3 0.1742 0.0016 21.601 29.435 8317.6396484375
3.92 4.4 0.1699 0.0012 32.790 29.007 8317.6396484375
3.92 4.5 0.1656 0.0012 52.269 28.894 8317.6396484375
3.92 4.6 0.1616 0.0012 79.540 28.855 8317.6396484375
3.92 4.7 0.1580 0.0005 111.656 20.780 8317.6396484375
3.92 4.8 0.1546 0.0005 163.107 19.413 8317.6396484375
3.92 4.9 0.1516 0.0005 224.534 16.890 8317.6396484375
3.92 5.0 0.1498 0.0006 283.488 14.764 8317.6396484375
3.92 5.1 0.1491 0.0006 351.207 13.107 8317.6396484375
3.92 5.2 0.1461 0.0006 821.438 46.161 8317.6396484375
3.92 5.3 0.1450 0.0005 1471.629 115.304 8317.6396484375
3.92 5.4 0.1446 0.0004 1586.573 174.923 8317.6396484375
3.92 5.5 0.1454 0.0003 1003.681 327.101 8317.6396484375
3.92 5.7 0.1610 0.0001 2706.891 11.948 8317.6396484375
3.92 5.8 0.1553 0.0000 4353.640 10.804 8317.6396484375
3.92 5.9 0.1554 0.0000 4058.435 10.452 8317.6396484375
3.92 6.0 0.1548 0.0002 3637.085 96.535 8317.6396484375
3.92 6.1 0.1585 0.0003 3926.200 303.468 8317.6396484375
3.92 6.2 0.1626 0.0004 4360.194 344.759 8317.6396484375
3.92 6.3 0.1672 0.0005 5073.305 262.412 8317.6396484375
3.92 6.4 0.1726 0.0004 5996.510 184.690 8317.6396484375
3.92 6.5 0.1783 0.0011 4752.184 864.503 8317.6396484375
3.92 6.6 0.1872 0.0029 3196.835 715.920 8317.6396484375
3.92 6.7 0.1940 0.0012 1258.078 36.116 8317.6396484375
3.92 6.8 0.2112 0.0010 1141.112 112.793 8317.6396484375
3.92 6.9 0.2283 0.0001 1063.073 39.576 8317.6396484375
3.92 7.0 0.2465 0.0003 990.735 47.925 8317.6396484375
3.92 7.1 0.2653 0.0004 740.182 51.628 8317.6396484375
3.92 7.2 0.2897 0.0005 912.260 68.657 8317.6396484375
3.92 7.3 0.3182 0.0010 1202.901 257.794 8317.6396484375
3.92 7.4 0.3480 0.0003 1223.503 47.584 8317.6396484375
3.92 7.5 0.3849 0.0027 1416.859 184.585 8317.6396484375
3.92 7.6 0.4218 0.0002 1619.089 29.582 8317.6396484375
3.93 3.0 0.2703 0.0076 3.576 4.252 8511.3818359375
3.93 3.1 0.2636 0.0071 7.913 3.733 8511.3818359375
3.93 3.2 0.2557 0.0058 17.048 17.809 8511.3818359375
3.93 3.3 0.2484 0.0048 26.226 15.706 8511.3818359375
3.93 3.4 0.2387 0.0043 37.951 22.479 8511.3818359375
3.93 3.5 0.2300 0.0038 44.502 26.447 8511.3818359375
3.93 3.6 0.2218 0.0033 46.314 24.633 8511.3818359375
3.93 3.7 0.2142 0.0029 44.906 22.318 8511.3818359375
3.93 3.8 0.2071 0.0026 38.964 25.238 8511.3818359375
3.93 3.9 0.2003 0.0022 37.662 24.410 8511.3818359375
3.93 4.0 0.1940 0.0019 31.528 28.086 8511.3818359375
3.93 4.1 0.1878 0.0018 25.689 30.982 8511.3818359375
3.93 4.2 0.1820 0.0017 24.560 32.666 8511.3818359375
3.93 4.3 0.1768 0.0016 30.771 33.907 8511.3818359375
