LOGL LOGTEFF T_c Ro_c Hc Hec Con_s Con_c LogedadMyr Mass Mdot modelo LogLpp LogLcno LogLHe LogLCC intdSdt LogLnu Log_MHtot Log_HeBuf Masa_HFC Masa_HeFC log_g RR_sun LHergs SepFaseergs Teff Age
3.249841 5.638248 2.502977 8.211605 0.0 0.0 0.0 0.0 2.292122261680624 1.22573 -33.0 897013 -99.0 -99.0 -99.0 -99.0 91850.29 4.954552 -5.7316529 -5.5456945 1.2257283 1.2254598 8.7845846 0.0074261 0.0 -0.0 434758.4182270335 6.532664144742739e-06
2.974823 5.518756 2.284497 7.764536 0.0 0.0 0.0 0.0 2.29212226220702 1.0984 -33.0 897039 -99.0 -99.0 -99.0 -99.0 6452.838 3.7406971 -5.7927575 -5.0496935 1.0983968 1.0974086 8.534002 0.0093807 0.0 -0.0 330183.9813970422 6.770157085611572e-06
3.13022 5.578496 2.38247 7.961952 0.0 0.0 0.0 0.0 2.292122262218708 1.15919 -33.0 897036 -99.0 -99.0 -99.0 -99.0 20705.52 4.2866567 -5.7506559 -3.9994076 1.1591813 1.1585626 8.6409585 0.0085203 0.0 -0.0 378875.0441642521 6.775430335892452e-06
3.404991 5.713919 2.639397 8.52077 0.0 0.0 0.0 0.0 2.292122262756075 1.2919 -33.0 897013 -99.0 -99.0 -99.0 -99.0 540018.0 5.7303538 -5.7343466 -5.0118092 1.2919012 1.2917514 8.9549577 0.006266 0.0 -0.0 517510.3024168817 7.017872945880299e-06
3.245384 5.637254 2.502764 8.211666 0.0 0.0 0.0 0.0 2.292122262988956 1.22573 -33.0 897014 -99.0 -99.0 -99.0 -99.0 91702.59 4.9539273 -5.7316529 -5.5456945 1.2257283 1.2254598 8.7850658 0.007422 0.0 -0.0 433764.49424905836 7.122941241277658e-06
3.401581 5.713223 2.638174 8.521211 0.0 0.0 0.0 0.0 2.292122264354637 1.2919 -33.0 897014 -99.0 -99.0 -99.0 -99.0 536127.8 5.7272151 -5.7343466 -5.0118092 1.2919012 1.2917514 8.9555816 0.0062615 0.0 -0.0 516681.6050197091 7.73909229678793e-06
3.120736 5.576346 2.38238 7.961976 0.0 0.0 0.0 0.0 2.292122264548099 1.15919 -33.0 897037 -99.0 -99.0 -99.0 -99.0 20662.15 4.2863407 -5.7506559 -3.9994084 1.1591813 1.1585626 8.6418425 0.0085116 0.0 -0.0 377004.0363897616 7.826376162256565e-06
3.240548 5.636177 2.502509 8.211739 0.0 0.0 0.0 0.0 2.292122264558955 1.22573 -33.0 897015 -99.0 -99.0 -99.0 -99.0 91528.16 4.9531789 -5.7316529 -5.5456945 1.2257283 1.2254598 8.7855955 0.0074175 0.0 -0.0 432690.14124312176 7.831274132286126e-06
2.968001 5.517204 2.284462 7.764546 0.0 0.0 0.0 0.0 2.292122265305166 1.0984 -33.0 897040 -99.0 -99.0 -99.0 -99.0 6436.162 3.7405469 -5.7927569 -5.0496968 1.0983968 1.0974086 8.5346166 0.0093741 0.0 -0.0 329006.1377692645 8.167940222847392e-06
3.398007 5.712504 2.636731 8.521737 0.0 0.0 0.0 0.0 2.292122266272912 1.2919 -33.0 897015 -99.0 -99.0 -99.0 -99.0 531544.2 5.7234854 -5.7343466 -5.0118092 1.2919012 1.2917514 8.9562808 0.0062565 0.0 -0.0 515826.9159918962 8.604556057889567e-06
