Teff log_g Mass Mbol BC U B V R I J H Ks Y J_1 H_1 K W1 W2 W3 W4 S36 S45 S58 S80 u g r i z g_1 r_1 i_1 z_1 y G2 G2_BP G2_RP G3 G3_BP G3_RP FUV NUV Age
26000.0 7.0 0.24 6.166 -2.768 7.694 8.764 8.935 9.045 9.174 9.488 9.59 9.668 9.394 9.466 9.561 9.645 9.711 9.742 9.784 9.789 9.718 9.739 9.758 9.774 8.535 8.713 9.133 9.467 9.767 8.752 9.136 9.476 9.726 9.893 8.905 8.727 9.112 8.918 8.796 9.138 8.016 8.192 0.1079
27000.0 7.0 0.242 5.996 -2.878 7.61 8.693 8.874 8.987 9.121 9.441 9.544 9.624 9.345 9.419 9.515 9.601 9.668 9.7 9.743 9.75 9.675 9.697 9.717 9.733 8.45 8.646 9.074 9.412 9.715 8.687 9.077 9.422 9.673 9.843 8.842 8.659 9.057 8.854 8.729 9.083 7.877 8.081 0.0
28000.0 7.0 0.243 5.83 -2.983 7.527 8.623 8.814 8.929 9.067 9.393 9.498 9.58 9.296 9.372 9.469 9.557 9.625 9.658 9.702 9.711 9.633 9.655 9.675 9.692 8.367 8.579 9.015 9.358 9.663 8.622 9.019 9.367 9.621 9.793 8.78 8.592 9.002 8.792 8.663 9.028 7.743 7.973 0.0
29000.0 7.0 0.245 5.669 -3.084 7.445 8.554 8.753 8.871 9.013 9.345 9.452 9.535 9.247 9.324 9.423 9.512 9.582 9.615 9.661 9.671 9.589 9.612 9.633 9.65 8.286 8.513 8.957 9.303 9.611 8.558 8.96 9.312 9.568 9.742 8.718 8.525 8.947 8.73 8.597 8.973 7.612 7.867 0.0
30000.0 7.0 0.247 5.513 -3.18 7.364 8.485 8.693 8.813 8.959 9.296 9.404 9.489 9.196 9.275 9.376 9.466 9.538 9.572 9.619 9.631 9.545 9.569 9.59 9.608 8.205 8.448 8.898 9.247 9.558 8.493 8.902 9.256 9.515 9.691 8.655 8.459 8.891 8.667 8.532 8.918 7.483 7.763 0.0
31000.0 7.0 0.25 5.36 -3.273 7.285 8.417 8.633 8.756 8.905 9.248 9.357 9.443 9.146 9.226 9.328 9.421 9.494 9.529 9.578 9.593 9.501 9.526 9.547 9.565 8.126 8.383 8.84 9.192 9.506 8.43 8.844 9.201 9.462 9.64 8.594 8.393 8.836 8.606 8.467 8.862 7.356 7.66 0.0
32000.0 7.0 0.252 5.213 -3.361 7.207 8.351 8.574 8.699 8.851 9.199 9.311 9.399 9.097 9.178 9.282 9.376 9.45 9.486 9.537 9.555 9.458 9.483 9.505 9.524 8.048 8.319 8.782 9.137 9.454 8.367 8.786 9.147 9.409 9.589 8.533 8.328 8.781 8.545 8.403 8.808 7.232 7.56 0.0
33000.0 7.0 0.254 5.071 -3.445 7.131 8.286 8.516 8.643 8.799 9.152 9.265 9.355 9.049 9.131 9.236 9.332 9.408 9.444 9.498 9.52 9.416 9.441 9.464 9.484 7.973 8.257 8.726 9.084 9.403 8.307 8.73 9.094 9.358 9.54 8.474 8.265 8.728 8.486 8.341 8.755 7.11 7.463 0.0
34000.0 7.0 0.256 4.933 -3.526 7.057 8.223 8.459 8.588 8.747 9.106 9.22 9.311 9.001 9.085 9.191 9.289 9.366 9.403 9.46 9.486 9.374 9.4 9.423 9.444 7.898 8.196 8.671 9.031 9.353 8.247 8.675 9.041 9.308 9.491 8.416 8.203 8.675 8.427 8.28 8.702 6.988 7.368 0.0
35000.0 7.0 0.258 4.799 -3.603 6.984 8.159 8.402 8.534 8.696 9.059 9.175 9.268 8.953 9.038 9.146 9.245 9.324 9.362 9.422 9.452 9.332 9.359 9.383 9.405 7.825 8.135 8.616 8.979 9.303 8.187 8.62 8.989 9.257 9.443 8.358 8.141 8.623 8.368 8.219 8.65 6.866 7.273 0.0
36000.0 7.0 0.26 4.668 -3.677 6.91 8.095 8.345 8.479 8.644 9.012 9.13 9.224 8.904 8.991 9.101 9.201 9.281 9.321 9.385 9.419 9.29 9.318 9.343 9.366 7.751 8.074 8.56 8.926 9.252 8.126 8.564 8.936 9.206 9.394 8.299 8.079 8.57 8.31 8.157 8.597 6.744 7.179 0.0
37000.0 7.0 0.262 4.54 -3.746 6.836 8.031 8.287 8.422 8.591 8.964 9.083 9.179 8.855 8.943 9.054 9.157 9.238 9.279 9.348 9.385 9.247 9.276 9.302 9.327 7.677 8.011 8.504 8.872 9.201 8.065 8.508 8.882 9.154 9.343 8.239 8.016 8.516 8.25 8.095 8.543 6.619 7.083 0.0
38000.0 7.0 0.264 4.415 -3.811 6.76 7.964 8.226 8.365 8.536 8.914 9.035 9.132 8.804 8.893 9.006 9.11 9.194 9.237 9.31 9.35 9.203 9.233 9.26 9.287 7.601 7.947 8.445 8.816 9.147 8.002 8.449 8.826 9.101 9.292 8.178 7.95 8.46 8.188 8.03 8.487 6.491 6.984 0.0
39000.0 7.0 0.267 4.292 -3.872 6.681 7.895 8.164 8.305 8.48 8.863 8.986 9.085 8.751 8.842 8.957 9.063 9.149 9.193 9.271 9.313 9.158 9.189 9.218 9.247 7.523 7.88 8.385 8.759 9.092 7.936 8.389 8.769 9.045 9.238 8.114 7.883 8.403 8.124 7.964 8.43 6.362 6.883 0.0
40000.0 7.0 0.269 4.172 -3.927 6.6 7.824 8.099 8.242 8.421 8.809 8.935 9.036 8.696 8.789 8.905 9.014 9.102 9.149 9.232 9.275 9.112 9.145 9.175 9.206 7.442 7.811 8.322 8.699 9.035 7.869 8.326 8.709 8.988 9.182 8.048 7.813 8.343 8.058 7.895 8.37 6.232 6.779 0.0
42500.0 7.0 0.275 3.884 -4.052 6.392 7.645 7.936 8.086 8.272 8.673 8.804 8.909 8.557 8.653 8.774 8.888 8.98 9.027 9.09 9.086 8.99 9.023 9.052 9.076 7.234 7.639 8.164 8.548 8.89 7.699 8.168 8.558 8.841 9.041 7.882 7.637 8.192 7.892 7.721 8.22 5.926 6.517 0.0
